year,iso_code,country,debt_type,prices,units,value
2018,BOL,Bolivia,Multilateral,constant,USD million,855.3953
2018,BRA,Brazil,Multilateral,constant,USD million,2886.9824
2018,BTN,Bhutan,Multilateral,constant,USD million,11.2532
2018,BWA,Botswana,Multilateral,constant,USD million,36.8477
2018,CHN,China,Multilateral,constant,USD million,3219.4409
2018,CIV,Cote d'Ivoire,Multilateral,constant,USD million,307.3895
2018,CMR,Cameroon,Multilateral,constant,USD million,641.8765
2018,COD,"Congo, Dem. Rep.",Multilateral,constant,USD million,13.1261
2018,COG,"Congo, Rep.",Multilateral,constant,USD million,52.7651
2018,COL,Colombia,Multilateral,constant,USD million,2681.7819
2018,CPV,Cabo Verde,Multilateral,constant,USD million,39.6856
2018,CRI,Costa Rica,Multilateral,constant,USD million,1553.3003
2018,DJI,Djibouti,Multilateral,constant,USD million,44.5619
2018,DMA,Dominica,Multilateral,constant,USD million,1.9528
2018,DOM,Dominican Republic,Multilateral,constant,USD million,493.4655
2018,ECU,Ecuador,Multilateral,constant,USD million,1788.8917
2018,EGY,"Egypt, Arab Rep.",Multilateral,constant,USD million,6017.7124
2018,ETH,Ethiopia,Multilateral,constant,USD million,27.4502
2018,FJI,Fiji,Multilateral,constant,USD million,33.7867
2018,GAB,Gabon,Multilateral,constant,USD million,335.3566
2018,GEO,Georgia,Multilateral,constant,USD million,325.9368
2018,GHA,Ghana,Multilateral,constant,USD million,62.4378
2018,GIN,Guinea,Multilateral,constant,USD million,33.3395
2018,GMB,"Gambia, The",Multilateral,constant,USD million,27.7103
2018,GNB,Guinea-Bissau,Multilateral,constant,USD million,41.9089
2018,GRD,Grenada,Multilateral,constant,USD million,0.6869
2018,GTM,Guatemala,Multilateral,constant,USD million,286.3832
2018,GUY,Guyana,Multilateral,constant,USD million,47.5647
2018,HND,Honduras,Multilateral,constant,USD million,433.5163
2018,HTI,Haiti,Multilateral,constant,USD million,0.4782
2018,IDN,Indonesia,Multilateral,constant,USD million,3364.2915
2018,IND,India,Multilateral,constant,USD million,4871.4216
2018,IRQ,Iraq,Multilateral,constant,USD million,149.3883
2018,JAM,Jamaica,Multilateral,constant,USD million,182.9259
2018,JOR,Jordan,Multilateral,constant,USD million,674.677
2018,KAZ,Kazakhstan,Multilateral,constant,USD million,281.287
2018,KEN,Kenya,Multilateral,constant,USD million,941.3222
2018,KGZ,Kyrgyz Republic,Multilateral,constant,USD million,12.295
2018,KHM,Cambodia,Multilateral,constant,USD million,4.2279
2018,LAO,Lao PDR,Multilateral,constant,USD million,17.0124
2018,LBN,Lebanon,Multilateral,constant,USD million,141.6238
2018,LCA,St. Lucia,Multilateral,constant,USD million,5.0666
2018,LKA,Sri Lanka,Multilateral,constant,USD million,672.3836
2018,LSO,Lesotho,Multilateral,constant,USD million,20.5781
2018,MAR,Morocco,Multilateral,constant,USD million,1059.1505
2018,MDA,Moldova,Multilateral,constant,USD million,82.1553
2018,MDG,Madagascar,Multilateral,constant,USD million,28.3837
2018,MDV,Maldives,Multilateral,constant,USD million,217.8433
2018,MEX,Mexico,Multilateral,constant,USD million,1799.4887
2018,MKD,North Macedonia,Multilateral,constant,USD million,92.6296
2018,MLI,Mali,Multilateral,constant,USD million,69.1286
2018,MMR,Myanmar,Multilateral,constant,USD million,3.7128
2018,MNE,Montenegro,Multilateral,constant,USD million,35.2406
2018,MNG,Mongolia,Multilateral,constant,USD million,271.1223
2018,MOZ,Mozambique,Multilateral,constant,USD million,32.6318
2018,MRT,Mauritania,Multilateral,constant,USD million,110.6477
2018,MUS,Mauritius,Multilateral,constant,USD million,9.5264
2018,MWI,Malawi,Multilateral,constant,USD million,19.5485
2018,NER,Niger,Multilateral,constant,USD million,34.3529
2018,NGA,Nigeria,Multilateral,constant,USD million,866.4011
